total_bill,tip,sex,smoker,day,time,size
35.26,5.0,Female,No,Sun,Dinner,4
39.42,7.58,Male,No,Sat,Dinner,4
32.4,6.0,Male,No,Sun,Dinner,4
34.81,5.2,Female,No,Sun,Dinner,4
38.01,3.0,Male,Yes,Sat,Dinner,4
48.27,6.73,Male,No,Sat,Dinner,4
32.68,5.0,Male,Yes,Thur,Lunch,2
34.83,5.17,Female,No,Thur,Lunch,4
40.17,4.73,Male,Yes,Fri,Dinner,4
44.3,2.5,Female,Yes,Sat,Dinner,3
38.07,4.0,Male,No,Sun,Dinner,3
34.3,6.7,Male,No,Thur,Lunch,6
41.19,5.0,Male,No,Thur,Lunch,5
48.17,5.0,Male,No,Sun,Dinner,6
50.81,10.0,Male,Yes,Sat,Dinner,3
32.9,3.11,Male,Yes,Sun,Dinner,2
34.63,3.55,Male,Yes,Sun,Dinner,2
34.65,3.68,Male,Yes,Sun,Dinner,4
45.35,3.5,Male,Yes,Sun,Dinner,3
40.55,3.0,Male,Yes,Sun,Dinner,2
43.11,5.0,Female,Yes,Thur,Lunch,4
38.73,3.0,Male,Yes,Sat,Dinner,4
48.33,9.0,Male,No,Sat,Dinner,4
32.83,1.17,Male,Yes,Sat,Dinner,2
35.83,4.67,Female,No,Sat,Dinner,3
